epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,36.2022,0.93562,1.33321,1.17551,0.79766,1,0.995,0.8955,0.44616,2.14056,1.01345,0.0012674,0.0012674,0.0012674
39,37.2753,0.79285,1.31832,1.31584,0.79766,1,0.995,0.8955,0.44616,2.14056,1.01345,0.0012476,0.0012476,0.0012476
40,38.3638,0.73959,1.16203,1.0853,0.79766,1,0.995,0.8955,0.44616,2.14056,1.01345,0.0012278,0.0012278,0.0012278
41,39.4233,0.80655,1.07016,1.14644,0.79766,1,0.995,0.8955,0.44616,2.14056,1.01345,0.001208,0.001208,0.001208
42,40.5517,0.96159,1.1283,1.22958,0.79766,1,0.995,0.8955,0.44616,2.14056,1.01345,0.0011882,0.0011882,0.0011882
43,41.691,0.99639,1.35985,1.36437,0.79766,1,0.995,0.8955,0.44616,2.14056,1.01345,0.0011684,0.0011684,0.0011684
44,42.7233,0.91795,1.2578,1.11777,0.79766,1,0.995,0.8955,0.44616,2.14056,1.01345,0.0011486,0.0011486,0.0011486
45,43.7804,0.75171,1.54818,1.25902,0.79766,1,0.995,0.8955,0.44616,2.14056,1.01345,0.0011288,0.0011288,0.0011288
46,44.846,0.96755,1.33815,1.39015,0.79766,1,0.995,0.8955,0.44616,2.14056,1.01345,0.001109,0.001109,0.001109
47,45.8508,1.11332,1.6221,1.59511,0.79766,1,0.995,0.8955,0.44616,2.14056,1.01345,0.0010892,0.0010892,0.0010892
48,46.9517,0.78019,1.24191,1.12774,0.9476,1,0.995,0.84559,0.47012,1.6245,1.00931,0.0010694,0.0010694,0.0010694
49,48.0183,0.86312,1.34814,1.16845,0.9476,1,0.995,0.84559,0.47012,1.6245,1.00931,0.0010496,0.0010496,0.0010496
50,49.0722,0.99973,1.33096,1.39039,0.9476,1,0.995,0.84559,0.47012,1.6245,1.00931,0.0010298,0.0010298,0.0010298
51,50.1526,0.69885,1.00358,1.0634,0.9476,1,0.995,0.84559,0.47012,1.6245,1.00931,0.00101,0.00101,0.00101
52,51.1931,0.79961,1.3919,1.32176,0.9476,1,0.995,0.84559,0.47012,1.6245,1.00931,0.0009902,0.0009902,0.0009902
53,52.2253,0.67471,1.26455,1.10092,0.9476,1,0.995,0.84559,0.47012,1.6245,1.00931,0.0009704,0.0009704,0.0009704
54,53.3243,0.76389,1.16171,1.15006,0.9476,1,0.995,0.84559,0.47012,1.6245,1.00931,0.0009506,0.0009506,0.0009506
55,54.331,0.64703,1.18704,1.1928,0.9476,1,0.995,0.84559,0.47012,1.6245,1.00931,0.0009308,0.0009308,0.0009308
56,55.3462,0.85105,1.28622,1.25473,0.9476,1,0.995,0.84559,0.47012,1.6245,1.00931,0.000911,0.000911,0.000911
57,56.4086,0.77916,1.16197,1.16779,0.9476,1,0.995,0.84559,0.47012,1.6245,1.00931,0.0008912,0.0008912,0.0008912
58,57.4295,0.8587,1.14641,1.19983,0.9476,1,0.995,0.84559,0.47012,1.6245,1.00931,0.0008714,0.0008714,0.0008714
59,58.4535,0.66488,1.07764,1.10249,0.96873,1,0.995,0.8955,0.60677,1.36495,1.08714,0.0008516,0.0008516,0.0008516
60,59.5232,0.65169,1.09384,1.13756,0.96873,1,0.995,0.8955,0.60677,1.36495,1.08714,0.0008318,0.0008318,0.0008318
61,60.5637,0.67229,0.98317,1.12456,0.96873,1,0.995,0.8955,0.60677,1.36495,1.08714,0.000812,0.000812,0.000812
62,61.5753,0.69935,1.07535,1.16206,0.96873,1,0.995,0.8955,0.60677,1.36495,1.08714,0.0007922,0.0007922,0.0007922
63,62.6243,0.87547,1.32916,1.41185,0.96873,1,0.995,0.8955,0.60677,1.36495,1.08714,0.0007724,0.0007724,0.0007724
64,63.6525,0.74954,1.14971,1.11934,0.96873,1,0.995,0.8955,0.60677,1.36495,1.08714,0.0007526,0.0007526,0.0007526
65,64.6713,0.78145,1.12724,1.13897,0.96873,1,0.995,0.8955,0.60677,1.36495,1.08714,0.0007328,0.0007328,0.0007328
66,65.7294,0.70839,1.08135,1.12054,0.96873,1,0.995,0.8955,0.60677,1.36495,1.08714,0.000713,0.000713,0.000713
67,66.791,0.74807,1.13779,1.10284,0.96873,1,0.995,0.8955,0.60677,1.36495,1.08714,0.0006932,0.0006932,0.0006932
68,67.8421,0.64361,1.06687,1.11027,0.96873,1,0.995,0.8955,0.60677,1.36495,1.08714,0.0006734,0.0006734,0.0006734
69,68.9302,0.78304,1.37449,1.28235,0.97886,1,0.995,0.8955,0.36806,1.31064,1.00228,0.0006536,0.0006536,0.0006536
70,69.9474,0.78197,1.04583,1.09474,0.97886,1,0.995,0.8955,0.36806,1.31064,1.00228,0.0006338,0.0006338,0.0006338
71,70.992,0.55667,1.19165,1.0805,0.97886,1,0.995,0.8955,0.36806,1.31064,1.00228,0.000614,0.000614,0.000614
72,72.0471,0.62504,0.87744,1.00063,0.97886,1,0.995,0.8955,0.36806,1.31064,1.00228,0.0005942,0.0005942,0.0005942
73,73.0734,0.59906,1.02857,1.0973,0.97886,1,0.995,0.8955,0.36806,1.31064,1.00228,0.0005744,0.0005744,0.0005744
74,74.1303,0.60742,1.28693,1.08114,0.97886,1,0.995,0.8955,0.36806,1.31064,1.00228,0.0005546,0.0005546,0.0005546
75,75.1848,0.63205,1.03239,1.10747,0.97886,1,0.995,0.8955,0.36806,1.31064,1.00228,0.0005348,0.0005348,0.0005348
76,76.1901,0.67161,1.06292,1.08294,0.97886,1,0.995,0.8955,0.36806,1.31064,1.00228,0.000515,0.000515,0.000515
77,77.2025,0.71268,1.01878,1.05375,0.97886,1,0.995,0.8955,0.36806,1.31064,1.00228,0.0004952,0.0004952,0.0004952
78,78.2603,0.54566,1.28156,1.19202,0.97886,1,0.995,0.8955,0.36806,1.31064,1.00228,0.0004754,0.0004754,0.0004754
79,79.2974,0.76405,1.0774,1.12273,0.97886,1,0.995,0.8955,0.36806,1.31064,1.00228,0.0004556,0.0004556,0.0004556
80,80.4022,0.75834,1.14471,1.20128,0.98013,1,0.995,0.995,0.27221,1.05698,0.90122,0.0004358,0.0004358,0.0004358
81,81.4637,0.48131,0.90225,0.99396,0.98013,1,0.995,0.995,0.27221,1.05698,0.90122,0.000416,0.000416,0.000416
82,82.5116,0.61214,1.05484,1.0894,0.98013,1,0.995,0.995,0.27221,1.05698,0.90122,0.0003962,0.0003962,0.0003962
83,83.579,0.64894,1.00228,1.16628,0.98013,1,0.995,0.995,0.27221,1.05698,0.90122,0.0003764,0.0003764,0.0003764
84,84.6532,0.57839,0.88281,1.00963,0.98013,1,0.995,0.995,0.27221,1.05698,0.90122,0.0003566,0.0003566,0.0003566
85,85.6961,0.77734,1.08358,1.12895,0.98013,1,0.995,0.995,0.27221,1.05698,0.90122,0.0003368,0.0003368,0.0003368
86,86.7008,0.67693,0.92654,0.98657,0.98013,1,0.995,0.995,0.27221,1.05698,0.90122,0.000317,0.000317,0.000317
87,87.7961,0.64922,1.08751,1.11292,0.98013,1,0.995,0.995,0.27221,1.05698,0.90122,0.0002972,0.0002972,0.0002972
88,88.8193,0.53222,1.1321,1.12026,0.98013,1,0.995,0.995,0.27221,1.05698,0.90122,0.0002774,0.0002774,0.0002774
89,89.89,0.64222,1.08209,1.08198,0.98013,1,0.995,0.995,0.27221,1.05698,0.90122,0.0002576,0.0002576,0.0002576
90,90.9723,0.66654,1.01848,1.11766,0.98013,1,0.995,0.995,0.27221,1.05698,0.90122,0.0002378,0.0002378,0.0002378
91,92.0097,0.40923,1.32238,0.88333,0.98157,1,0.995,0.995,0.23833,1.0025,0.86499,0.000218,0.000218,0.000218
92,93.0753,0.54,1.44267,1.04619,0.98157,1,0.995,0.995,0.23833,1.0025,0.86499,0.0001982,0.0001982,0.0001982
93,94.1132,0.46095,1.34795,0.99114,0.98157,1,0.995,0.995,0.23833,1.0025,0.86499,0.0001784,0.0001784,0.0001784
94,95.1137,0.5193,1.28552,1.07117,0.98157,1,0.995,0.995,0.23833,1.0025,0.86499,0.0001586,0.0001586,0.0001586
95,96.1597,0.54904,1.56786,1.00394,0.98157,1,0.995,0.995,0.23833,1.0025,0.86499,0.0001388,0.0001388,0.0001388
96,97.1911,0.52538,1.68684,1.03939,0.98157,1,0.995,0.995,0.23833,1.0025,0.86499,0.000119,0.000119,0.000119
97,98.1753,0.59146,1.55826,1.09947,0.98157,1,0.995,0.995,0.23833,1.0025,0.86499,9.92e-05,9.92e-05,9.92e-05
98,99.1702,0.48596,1.47503,1.06039,0.98157,1,0.995,0.995,0.23833,1.0025,0.86499,7.94e-05,7.94e-05,7.94e-05
99,100.266,0.48319,1.39928,1.03529,0.98157,1,0.995,0.995,0.23833,1.0025,0.86499,5.96e-05,5.96e-05,5.96e-05
100,101.291,0.83095,1.83988,1.43849,0.98157,1,0.995,0.995,0.23833,1.0025,0.86499,3.98e-05,3.98e-05,3.98e-05
